menu,price,image_url
BT21　和菓子　MANG（マン）　チョコレート餡,300円,https://www.kurasushi.co.jp/menu/upload/16cef9cd5f6ea1c5f5c7c445e9a93a89d1a52953.jpg
BT21　　和菓子　CHIMMY（チミー）　チョコレート餡,300円,https://www.kurasushi.co.jp/menu/upload/dc83adcad17c186c6979155dd403bbb18abac40a.jpg
BT21　　和菓子　TATA（タタ）　いちご餡,300円,https://www.kurasushi.co.jp/menu/upload/71145d641726a01d6567646b6c4b2ef8910f3656.jpg
BT21　　和菓子COOKY（クッキー）　いちご餡,300円,https://www.kurasushi.co.jp/menu/upload/32381ad5f17ae298285ca7db081946e65d666ed9.jpg
キャラメルモンブランパフェ,640円,https://www.kurasushi.co.jp/menu/upload/a0ec9db1db9e16f39b1e56ea892c54cede585061.jpg
揚げたい焼き,115円,https://www.kurasushi.co.jp/menu/upload/b2091f409cfe97e1dccd6a874c09a1d63bd49e10.jpg
イタリアンティラミス,250円,https://www.kurasushi.co.jp/menu/upload/df2e83d25372bbad728dd7311a5e6ecb2ce5f20f.jpg
ヴィクトリアケーキ,250円,https://www.kurasushi.co.jp/menu/upload/3f09787bd6f1a3297293b55ba417090eac42a335.jpg
いちごのホワイトアイスケーキ,250円,https://www.kurasushi.co.jp/menu/upload/501c19d6dbf61030e47f9b16767ee0ed442ac913.jpg
揚げたて豆乳ドーナツ,360円,https://www.kurasushi.co.jp/menu/upload/3cbc163b9efcd64f4ef90ce4d9ed4471467773d2.jpg
塩豆大福,115円,https://www.kurasushi.co.jp/menu/upload/34a6f2c68dbfda77aa001fdb321313fa59a7fa98.jpg
カットパイン,115円,https://www.kurasushi.co.jp/menu/upload/59459f2e05f7f53228ba251a716edd09a200b87e.jpg
北海道みるくのプリンタルト,115円,https://www.kurasushi.co.jp/menu/images_menu/f196218b16a2c0c764f8bec99acc02beff56602d.jpg
北海道みるくシューアイス,115円,https://www.kurasushi.co.jp/menu/images_menu/ad0ba7cf06de2dffd5492fceb039dfbee2e8b9e8.jpg
チョコケーキ,115円,https://www.kurasushi.co.jp/menu/images_menu/e4dd79fd4f8eac0481a71f0a19c26dfe22785052.jpg
チーズケーキ,115円,https://www.kurasushi.co.jp/menu/images_menu/12c934aad277693a8bdb322b75d165634bd44725.jpg
ミルクレープ,250円,https://www.kurasushi.co.jp/menu/images_menu/f9714588451ad563d5204ff9e8eef3373528748d.jpg
大学芋スティック,115円,https://www.kurasushi.co.jp/menu/upload/c92b28425c5d624cd143076f4fce3d40569e2082.jpg
京わらびもち,115円,https://www.kurasushi.co.jp/menu/upload/c63f047971debb810094287f58bc5fa7306aa611.jpg
バニラアイス,115円,https://www.kurasushi.co.jp/menu/upload/4ecb8f7afa2f3bd038dcee3822ef98b77cb51446.jpg
チョコアイス,115円,https://www.kurasushi.co.jp/menu/upload/682e90438f8d83f140066dcc6492b89f52fad862.jpg
豆乳アイス,115円,https://www.kurasushi.co.jp/menu/upload/cf43d7c1f677cdbae4188c35861d7c029606c35e.jpg
巨峰シャーベット,115円,https://www.kurasushi.co.jp/menu/upload/0361a97125c993a3a217b159059f9d332df17046.jpg
完熟マンゴー,360円,https://www.kurasushi.co.jp/menu/upload/c16096c24634606d2fd63e6fccc83b9ead649557.jpg
乳酸菌ウォーター,115円,https://www.kurasushi.co.jp/menu/upload/deebc42626ec89f9b54b2a2fc57738b5d7d49682.jpg
オレンジ・みかんジュース,200円,https://www.kurasushi.co.jp/menu/upload/2dc19129cabddbf9c6205fb82f591ee44944080b.jpg
りんごジュース,200円,https://www.kurasushi.co.jp/menu/upload/189055183a309d456a64a12db604d9ae715e94f3.jpg
宇治抹茶入り緑茶,115円,https://www.kurasushi.co.jp/menu/upload/f4ea4e64163f9603c7241005e596b786708529f7.jpg
プレミアホット珈琲,150円,https://www.kurasushi.co.jp/menu/images_menu/e96a78116808e0761be7a3e02d52d48999e0a535.jpg
プレミアアイス珈琲,150円,https://www.kurasushi.co.jp/menu/upload/66abf74b5c0fd2d52b4cdc1df81954165ab88743.jpg
プレミアホットラテ,180円,https://www.kurasushi.co.jp/menu/images_menu/e51c3882a9c9a2dec839d39624023cd247258c1d.jpg
プレミアアイスラテ,180円,https://www.kurasushi.co.jp/menu/upload/b0211648cad290b95ffda9c6d3afae75767639b6.jpg
